Source,Target,Weight,Type
dangal95,g-jing,1,Undirected
dangal95,kamalkraj,1,Undirected
dangal95,kugwzk,1,Undirected
dangal95,nijianmo,1,Undirected
dangal95,ramithp,1,Undirected
dangal95,rremani,1,Undirected
dangal95,srslynow,1,Undirected
dangal95,thomwolf,1,Undirected
dangal95,weizhepei,1,Undirected
dangal95,zhaoxy92,1,Undirected
g-jing,kamalkraj,1,Undirected
g-jing,kugwzk,1,Undirected
g-jing,nijianmo,1,Undirected
g-jing,ramithp,1,Undirected
g-jing,rremani,1,Undirected
g-jing,srslynow,1,Undirected
g-jing,thomwolf,5,Undirected
g-jing,weizhepei,2,Undirected
g-jing,zhaoxy92,1,Undirected
kamalkraj,kugwzk,1,Undirected
kamalkraj,nijianmo,1,Undirected
kamalkraj,ramithp,1,Undirected
kamalkraj,rremani,1,Undirected
kamalkraj,srslynow,1,Undirected
kamalkraj,thomwolf,2,Undirected
kamalkraj,weizhepei,1,Undirected
kamalkraj,zhaoxy92,1,Undirected
kugwzk,nijianmo,1,Undirected
kugwzk,ramithp,1,Undirected
kugwzk,rremani,1,Undirected
kugwzk,srslynow,1,Undirected
kugwzk,thomwolf,4,Undirected
kugwzk,weizhepei,1,Undirected
kugwzk,zhaoxy92,1,Undirected
nijianmo,ramithp,1,Undirected
nijianmo,rremani,1,Undirected
nijianmo,srslynow,1,Undirected
nijianmo,thomwolf,1,Undirected
nijianmo,weizhepei,1,Undirected
nijianmo,zhaoxy92,1,Undirected
ramithp,rremani,1,Undirected
ramithp,srslynow,1,Undirected
ramithp,thomwolf,1,Undirected
ramithp,weizhepei,1,Undirected
ramithp,zhaoxy92,1,Undirected
rremani,srslynow,1,Undirected
rremani,thomwolf,1,Undirected
rremani,weizhepei,1,Undirected
rremani,zhaoxy92,1,Undirected
srslynow,thomwolf,1,Undirected
srslynow,weizhepei,1,Undirected
srslynow,zhaoxy92,1,Undirected
thomwolf,weizhepei,1,Undirected
thomwolf,zhaoxy92,1,Undirected
weizhepei,zhaoxy92,1,Undirected
alphanlp,artemisart,1,Undirected
alphanlp,mikelkl,1,Undirected
alphanlp,sid8491,1,Undirected
alphanlp,thedrowsywinger,1,Undirected
alphanlp,thomwolf,3,Undirected
artemisart,mikelkl,1,Undirected
artemisart,sid8491,1,Undirected
artemisart,thedrowsywinger,1,Undirected
mikelkl,sid8491,1,Undirected
mikelkl,thedrowsywinger,1,Undirected
mikelkl,thomwolf,1,Undirected
sid8491,thedrowsywinger,1,Undirected
sid8491,thomwolf,1,Undirected
thedrowsywinger,thomwolf,1,Undirected
danyaljj,thomwolf,4,Undirected
davidefiocco,ejld,1,Undirected
ejld,thomwolf,1,Undirected
MitraTj,rlpatrao,1,Undirected
MitraTj,thomwolf,1,Undirected
MitraTj,timniven,1,Undirected
MitraTj,zeze-zzz,1,Undirected
rlpatrao,thomwolf,1,Undirected
rlpatrao,timniven,1,Undirected
rlpatrao,zeze-zzz,1,Undirected
thomwolf,timniven,1,Undirected
thomwolf,zeze-zzz,1,Undirected
timniven,zeze-zzz,1,Undirected
samyam,thomwolf,1,Undirected
davidefiocco,yanshanjing,1,Undirected
thomwolf,yanshanjing,1,Undirected
Deep1994,thomwolf,2,Undirected
A-Rain,thomwolf,1,Undirected
Deep1994,rodgzilla,1,Undirected
Deep1994,smelly-dog,1,Undirected
Deep1994,tarskiandhutch,1,Undirected
rodgzilla,smelly-dog,1,Undirected
rodgzilla,tarskiandhutch,1,Undirected
rodgzilla,thomwolf,23,Undirected
smelly-dog,tarskiandhutch,1,Undirected
smelly-dog,thomwolf,1,Undirected
tarskiandhutch,thomwolf,1,Undirected
ZacharyWaseda,thomwolf,1,Undirected
Qzsl123,bheinzerling,1,Undirected
chledowski,davidefiocco,1,Undirected
DeeepSeeek,bheinzerling,1,Undirected
DeeepSeeek,thomwolf,1,Undirected
agemagician,rodgzilla,1,Undirected
agemagician,thomwolf,1,Undirected
DukeZhu,Qzsl123,1,Undirected
DukeZhu,monk1337,1,Undirected
DukeZhu,rodgzilla,1,Undirected
Qzsl123,monk1337,1,Undirected
Qzsl123,rodgzilla,1,Undirected
monk1337,rodgzilla,1,Undirected
abmitra84,elyase,1,Undirected
abmitra84,kh522,1,Undirected
abmitra84,maxsonate,1,Undirected
abmitra84,paschistrobel,1,Undirected
abmitra84,rodgzilla,1,Undirected
abmitra84,thomwolf,1,Undirected
elyase,kh522,1,Undirected
elyase,maxsonate,1,Undirected
elyase,paschistrobel,1,Undirected
elyase,rodgzilla,1,Undirected
kh522,maxsonate,1,Undirected
kh522,paschistrobel,1,Undirected
kh522,rodgzilla,1,Undirected
kh522,thomwolf,1,Undirected
maxsonate,paschistrobel,1,Undirected
maxsonate,rodgzilla,1,Undirected
maxsonate,thomwolf,1,Undirected
paschistrobel,rodgzilla,1,Undirected
paschistrobel,thomwolf,1,Undirected
BramVanroy,ConanCui,1,Undirected
BramVanroy,Dongximing,1,Undirected
BramVanroy,avisil,1,Undirected
BramVanroy,cgr71ii,1,Undirected
BramVanroy,rodgzilla,1,Undirected
BramVanroy,thomwolf,19,Undirected
ConanCui,Dongximing,1,Undirected
ConanCui,avisil,1,Undirected
ConanCui,cgr71ii,1,Undirected
ConanCui,rodgzilla,1,Undirected
ConanCui,thomwolf,1,Undirected
Dongximing,avisil,1,Undirected
Dongximing,cgr71ii,1,Undirected
Dongximing,rodgzilla,1,Undirected
Dongximing,thomwolf,2,Undirected
avisil,cgr71ii,1,Undirected
avisil,rodgzilla,1,Undirected
cgr71ii,rodgzilla,1,Undirected
cgr71ii,thomwolf,1,Undirected
IreneZihuiLi,koyelseba,1,Undirected
IreneZihuiLi,liu946,1,Undirected
IreneZihuiLi,machouz,1,Undirected
IreneZihuiLi,siddBanPsu,1,Undirected
IreneZihuiLi,thomwolf,1,Undirected
IreneZihuiLi,yihenglu,1,Undirected
IreneZihuiLi,yyHaker,1,Undirected
koyelseba,liu946,1,Undirected
koyelseba,machouz,1,Undirected
koyelseba,siddBanPsu,1,Undirected
koyelseba,thomwolf,1,Undirected
koyelseba,yihenglu,1,Undirected
koyelseba,yyHaker,1,Undirected
liu946,machouz,1,Undirected
liu946,siddBanPsu,1,Undirected
liu946,thomwolf,1,Undirected
liu946,yihenglu,1,Undirected
liu946,yyHaker,1,Undirected
machouz,siddBanPsu,1,Undirected
machouz,thomwolf,1,Undirected
machouz,yihenglu,1,Undirected
machouz,yyHaker,1,Undirected
siddBanPsu,thomwolf,1,Undirected
siddBanPsu,yihenglu,1,Undirected
siddBanPsu,yyHaker,1,Undirected
thomwolf,yihenglu,1,Undirected
thomwolf,yyHaker,1,Undirected
yihenglu,yyHaker,1,Undirected
thomwolf,zhezhaoa,1,Undirected
ankit-ai,johnsonice,1,Undirected
ankit-ai,rodgzilla,1,Undirected
ankit-ai,thomwolf,2,Undirected
ankit-ai,wcgan,1,Undirected
johnsonice,rodgzilla,1,Undirected
johnsonice,thomwolf,1,Undirected
johnsonice,wcgan,1,Undirected
rodgzilla,wcgan,1,Undirected
thomwolf,wcgan,1,Undirected
nischalhp,ymcui,2,Undirected
Arjunsankarlal,bheinzerling,1,Undirected
Arjunsankarlal,pratikchhapolika,1,Undirected
Arjunsankarlal,thomwolf,2,Undirected
bheinzerling,pratikchhapolika,1,Undirected
pratikchhapolika,thomwolf,2,Undirected
nischalhp,thomwolf,1,Undirected
thomwolf,ymcui,1,Undirected
artemlos,thomwolf,2,Undirected
Arjunsankarlal,friskit-china,1,Undirected
friskit-china,thomwolf,1,Undirected
artemlos,rodgzilla,2,Undirected
OswaldoBornemann,SaurabhBhatia0211,1,Undirected
OswaldoBornemann,artemlos,1,Undirected
OswaldoBornemann,bavaria95,1,Undirected
OswaldoBornemann,brando90,1,Undirected
OswaldoBornemann,echan00,1,Undirected
OswaldoBornemann,rodgzilla,1,Undirected
OswaldoBornemann,thomwolf,2,Undirected
SaurabhBhatia0211,artemlos,1,Undirected
SaurabhBhatia0211,bavaria95,1,Undirected
SaurabhBhatia0211,brando90,1,Undirected
